node,betweenness,eigenvector,betweenness_norm,eigenvector_norm,influence_weight
248,0.005136979300537152,0.07397862154790677,0.9999999999999999,1.0,1.0
234,0.0046488617511101895,0.06189991970876889,0.9049796542150904,0.8367271302653835,0.870853392240237
235,0.004434627091752114,0.061699162141577016,0.8632752503574237,0.8340134061787314,0.8486443282680776
237,0.004564930549653479,0.059202956601323894,0.8886410247314298,0.8002711508078789,0.8444560877696543
6,0.00488436506767934,0.05040870011004034,0.9508243623190389,0.6813955039348345,0.8161099331269367
243,0.0039200373415048066,0.0625772603293725,0.7631016424564733,0.8458830270154328,0.804492334735953
5,0.004481388035320709,0.053203683175453764,0.8723780597776808,0.7191764602020916,0.7957772599898862
236,0.0040040006008596855,0.059772297757740185,0.7794465125528156,0.8079671735845076,0.7937068430686616
245,0.0032821440682519786,0.06568126865379043,0.638924916031641,0.8878412070878723,0.7633830615597567
126,0.004413375847455669,0.04324584881878538,0.8591383358298096,0.5845722441689511,0.7218552899993804
258,0.0035511091755655194,0.052192398947245505,0.6912835282778333,0.7055065078962978,0.6983950180870655
20,0.004004718070357652,0.045465996975927195,0.7795861801387627,0.6145829163156887,0.6970845482272257
129,0.003844119047256689,0.04383097887970403,0.7483228610352246,0.5924816921780591,0.6704022766066419
448,0.003374280165168903,0.04942254029138755,0.6568607673416299,0.668065168791807,0.6624629680667184
240,0.003263462372840944,0.0509204058326368,0.6352882077020823,0.6883124444223657,0.661800326062224
8,0.003460934119827084,0.04659062028636626,0.6737294268375169,0.6297849204475283,0.6517571736425226
1,0.00348696203497816,0.04484767594848034,0.6787962012254055,0.6062248121159985,0.642510506670702
981,0.003413041878393733,0.045648695752521916,0.66440639113279,0.6170525321691879,0.6407294616509889
1002,0.003583560351623131,0.042902069166197265,0.697600699159604,0.5799252306751205,0.6387629649173623
267,0.0028503002550283596,0.0534483288608009,0.5548592058236084,0.7224834383564318,0.6386713220900201
446,0.0031520150092609845,0.048622091688466464,0.6135930913584549,0.6572451699033075,0.6354191306308812
128,0.003837446875413378,0.03852829635191761,0.7470240098129483,0.5208031123825093,0.6339135610977288
829,0.0032996191025935944,0.04584602427863985,0.6423267273528953,0.6197199044720112,0.6310233159124532
239,0.002854726927271717,0.05212334038436607,0.5557209325280346,0.7045730143891943,0.6301469734586145
1355,0.003519574769328378,0.04228780008693113,0.6851448221643313,0.571621898355413,0.6283833602598721
